file_name,sentence,chinese
data/validation/common_voice_en_36990020.mp3,Such a behaviour has usually resulted in repeated jail sentences of several weeks.,这种行为通常会导致多次入狱数周。
data/test/common_voice_en_36539710.mp3,A and B have active chromospheres.,A 和 B 具有活跃的色球层。
data/test/common_voice_en_35244837.mp3,"He was educated at the University of Pennsylvania, and then worked as a merchant.",他在宾夕法尼亚大学接受教育，然后成为一名商人。
data/validation/common_voice_en_37932403.mp3,"However, the causal properties of this state are not well defined.",然而，这种状态的因果特性尚未明确定义。
data/validation/common_voice_en_36987562.mp3,Fifteen teams contested this edition.,十五支队伍参加了本次比赛。
data/train/common_voice_en_37513345.mp3,The manor passed into noble but secular hands around this time.,庄园在此时转入贵族但世俗的手中。
data/test/common_voice_en_37966113.mp3,This conspiracy theory was never proven.,这个阴谋论从未得到证实。
data/train/common_voice_en_38004428.mp3,"It is not allowed to use nuclear, chemical, or biological weapons in Palau territory.",不允许在帕劳境内使用核武器、化学武器或生物武器。
data/train/common_voice_en_36813512.mp3,"Delhi is in the Turlock Irrigation District, which provides farm water and electrical service.",德里位于特洛克灌溉区，提供农场用水和电力服务。
data/train/common_voice_en_37030713.mp3,Thrust vectoring nozzles are now offered upon customer's request.,现在可根据客户的要求提供推力矢量喷嘴。
data/train/common_voice_en_37849207.mp3,The breast pocket of his jacket is stuffed with banknotes.,他夹克胸前的口袋里塞满了钞票。
data/test/common_voice_en_38002278.mp3,The rhino has a smaller fold of skin around its neck.,犀牛的脖子周围有较小的皮肤褶皱。
data/train/common_voice_en_35072910.mp3,"The factories lured in numerous immigrants, most notably from Italy.",这些工厂吸引了众多移民，尤其是来自意大利的移民。
data/train/common_voice_en_35252558.mp3,From the fourth matchday onwards Kaiserslautern would not relinquish first place.,从第四个比赛日开始，凯泽斯劳滕就不会放弃第一名。
data/validation/common_voice_en_37932733.mp3,"This process is called ""striking for a rate"".",这个过程被称为“敲定价格”。
data/validation/common_voice_en_34948258.mp3,Such devices are called crane trolleys.,此类设备称为起重机小车。
data/train/common_voice_en_36523906.mp3,Guin is also a nickname for the unique name Guinevere.,Guin 也是 Guinevere 这个独特名字的昵称。
data/test/common_voice_en_35428660.mp3,Adda or Bengali gossip is prevalent and widely enjoyed.,阿达语或孟加拉语八卦很流行并广受人们喜爱。
data/test/common_voice_en_38021822.mp3,"By profession he was a lumber merchant, operating a small sawmill in South Nelson.",他的职业是一名木材商人，在南尼尔森经营一家小锯木厂。
data/test/common_voice_en_36799985.mp3,Sorbara issued a brief statement on the controversy.,索巴拉就这一争议发表了一份简短声明。
data/train/common_voice_en_36537187.mp3,"Precipitation is significant year-round, but it is lowest from January to March.",全年降水量较多，但一月至三月降水量最少。
data/train/common_voice_en_35319975.mp3,"At standard temperature and pressure, ethane is a colorless, odorless gas.",在标准温度和压力下，乙烷是无色、无味的气体。
data/train/common_voice_en_35668413.mp3,"She heals warts, birds and butterflies and is the total antithesis of her clan.",她能治愈疣、鸟类和蝴蝶，与她的氏族完全相反。
data/train/common_voice_en_36835866.mp3,The area was formerly agricultural farmland.,该地区以前是农业农田。
data/train/common_voice_en_37918948.mp3,Other tobacco companies such as Goodwin and Company soon followed suit.,古德温公司等其他烟草公司很快也纷纷效仿。
data/test/common_voice_en_36541315.mp3,It was named after the Wapentake of Osgoldcross and administered from Pontefract.,它以奥斯戈尔德克罗斯的瓦彭塔克命名，由庞特弗拉克特管理。
data/train/common_voice_en_37672782.mp3,Unmarked phrase order is subject-object-predicate.,未标记的短语顺序是主语-宾语-谓语。
data/validation/common_voice_en_35496665.mp3,This can only be achieved by using a large camera.,这只能通过使用大型相机来实现。
data/train/common_voice_en_34962909.mp3,All copyright notices within the modules were removed.,模块内的所有版权声明均已删除。
data/validation/common_voice_en_37888876.mp3,These figures also include the dropout students both boys and girls.,这些数字还包括辍学的男孩和女孩。
