file_name,sentence,chinese
data/train/common_voice_ug_33427326.mp3,تۆۋەندىكى سۆزلەردىن پايدىلىنىپ جۈملە قۇراشتۇرۇپ بېقىڭ.,尝试用下面的单词造句。
data/train/common_voice_ug_35882738.mp3,ئاكام — ئوقۇتقۇچى، ئىككى بالىنىڭ دادىسى، ئالىي مەكتەپنى پۈتتۈرگەن بىلىملىك زىيالىي ئىدى.,我的兄弟是一名教师、两个孩子的父亲，也是一名受过大学教育的知识分子。
data/train/common_voice_ug_33758445.mp3,ئۆزگەرتىش ماڭا نىسبەتەن ھەقىقەتەن ئاسان ئەمەس.,改变对我来说并不容易。
data/train/common_voice_ug_27669141.mp3,ساغلاملىق مەركىزىدىكى مەسئۇل دوختۇر گېپىنى تۈگىتىپ تاماكىسىنى قاتتىق بىر شوراپ قويدى.,保健中心的主治医生说完，深深地吸了一口烟。
data/train/common_voice_ug_30417955.mp3,ئۇ بەزىدە مۇشۇنداق مىسكىن بولۇپ قالىدۇ.,他有时会很穷。
data/train/common_voice_ug_37304769.mp3,ئەڭ مۇھىم شەرتلەرنىڭ بىرى، ئۇيغۇر تىلىنى ناھايىتى پۇختا بىلىش.,最重要的条件之一是扎实的维吾尔语知识。
data/validation/common_voice_ug_27593405.mp3,ئېلېكتر زەنجىرى نەچچە قىسىمدىن تەشكىل تاپىدۇ؟,电路由几部分组成？
data/validation/common_voice_ug_33209111.mp3,ئەگەر ئالىملار بۇ خىل ھادىسىنىڭ ئاچقۇچىنى يېشەلىسە، بەلكىم كەلگۈسىدە ھەممە ئادەم ئېينىشتىيىن بولۇشى مۇمكىن,如果科学家能够解开这一现象的钥匙，也许未来人人都是爱因斯坦
data/train/common_voice_ug_33470545.mp3,ئۇ بىر دۆلەت. ئۇ دۆلەتتە بىر داڭلىق مۇنار بار.,这是一个国家。那个国家有一座著名的塔。
data/train/common_voice_ug_35054394.mp3,بىر كۈنى راستتىنلا بۆرە كەپتۇ.,有一天，一只狼真的来了。
data/train/common_voice_ug_34041638.mp3,ئادەم ئۆزىنىڭ ئېھتىياجلىرىنى دېيىش ھەم قاندۇرۇش ئارقىلىق ئۆز مەۋجۇتلۇقىنى ھېس قىلىدۇ.,人通过表达和满足他的需要来表达他的存在。
data/test/common_voice_ug_33419505.mp3,ئىككىلا تەرەپ بەك خۇشال، بەك رازى.,双方都很高兴、很满意。
data/train/common_voice_ug_26245834.mp3,ئۆزۈڭ قىڭغىر بولساڭمۇ؟ گېپىڭ تۈز بولسۇن.,如果你是个脾气暴躁的人怎么办？说实话。
data/train/common_voice_ug_33353519.mp3,ئۇ مېنى ئۆزگىرىپ كەتتى دەپ ئويلىدى، ماڭا ئىشەنمىدى.,他以为我变了，不相信我。
data/train/common_voice_ug_28019495.mp3,«ياخشى چارە ئىشنىڭ يېرىمى» ، «سەۋەب قىلساڭ سېۋەتتە سۇ توختايدۇ» دېگەن ماقاللارنى ئاڭلاپ باققانمۇ؟,您是否听过这样一句话：“措施到位，成功了一半”和“只要努力，篮子就会停下来”？
data/validation/common_voice_ug_32842783.mp3,ئويلا-ئويلا زەردە بولۇپ، قاپنى كۆتۈرگىنىچە يول بويىدىكى ئەخلەت ساندۇقىغا ئاپىرىپ تاشلىۋەتتى.,想了想，他拿起袋子，扔进了路边的垃圾桶里。
data/train/common_voice_ug_26265085.mp3,يايلاقلاردا ئوتلاپ يۈرگەن قوي، كالا، ئاتلارنى سۈرەتكە تارتىمەن.,我拍摄在牧场吃草的羊、牛和马。
data/validation/common_voice_ug_33684084.mp3,شۇ تەرىقىدە تۆت قېتىم ئۇخلاپ ئويغانغان پىلە قىز يەنە نەچچە كۈن ئۈجمە يوپۇرمىقى يېدى.,于是象女睡了四次就醒了，连续吃了几天桑叶。
data/train/common_voice_ug_27664746.mp3,بىز بۈگۈن كېچە شەھەرگە قايتىپ، رەخىمجان بىلەن مەسلىھەتلىشەيلى.,让我们今晚返回城市并与拉姆詹商量。
data/train/common_voice_ug_26254088.mp3,بوۋام ئۇنى ھەتتا ئۈچ ۋىلايەت ئىنقىلابىغا قاتناشقان يىگىتلىك چاغلىرىدىمۇ يېنىدىن ئايرىمىغان ئىكەن.,祖父年轻时参加三省革命，就从未离开过他的身边。
data/train/common_voice_ug_32841894.mp3,نېمانچە ئەخمەق ئادەم بۇ.,这是一个多么愚蠢的人啊。
data/train/common_voice_ug_33011861.mp3,مەلۇم بىر يىلى ئەتىياز مەزگىلى ئىدى.,有一年，正值春天。
data/train/common_voice_ug_36989728.mp3,مەن دۇنيادىكى بارچە مەغلۇبىيەتنى تېتىپ بېقىشقا رازىمەنكى، ھېچ ئىش قىلالماي ئاددىي ياشاشنى خالىمايمەن.,我愿意尝尽世间所有的失败，所以我不想过着简单的生活，无所事事。
data/test/common_voice_ug_26252818.mp3,«مەن ئەخمەق ئەمەستۇرمەن! دەپ ئويلاپتۇ بۇ ئەمەلدار، ئېھتىمال ئىقتىدارىم ئەمىلىمگە ماس كەلمىسە كېرەك.,“我不傻！军官想，也许我的技术与我的行动不符。
data/test/common_voice_ug_27078100.mp3,ئۆزۈڭدە يوق—ئالەمدە يوق.,不在你身上，也不在宇宙中。
data/train/common_voice_ug_33409043.mp3,ئاتىلىق يېتىم كۈل يېتىم، ئانىلىق يېتىم گۈل يېتىم.,父孤是灰孤，母孤是花孤。
data/test/common_voice_ug_26203091.mp3,مەززىسى يوق گەپتىن، پاقىنىڭ كۇرۇلدىشى ياخشى.,说实话比说坏话要好。
data/validation/common_voice_ug_26648580.mp3,رادىئولۇق ئۈنئالغۇ نېمە ئۈچۈن ناخشا ياڭرىتالايدۇ؟,收音机为什么可以播放音乐？
data/test/common_voice_ug_33868127.mp3,قۇياش، ئاي ۋە يۇلتۇزلار، شامال، چاقماق ۋە بۇلۇتلار، تاغ، دەريا ۋە دېڭىزلار تولىمۇ گۈزەل.,日月星辰，风雷云彩，山河大海，美不胜收。
data/train/common_voice_ug_26657764.mp3,-بوۋا، تۆگە كۆردىڭىزمۇ؟,- 爷爷，你见过骆驼吗？
